request_reference,request_id,status

5871421,00000000000007105547,Fechas actualizadas
999999,,Request_id no encontrado.
5872838,00000000000007095974,Fechas actualizadas
88888888976,,Request_id no encontrado.
5871421,00000000000007105547,Fechas actualizadas
999999,,Request_id no encontrado.
5872838,00000000000007095974,Fechas actualizadas
88888888976,,Request_id no encontrado.
5871421,00000000000007105547,Fechas actualizadas
999999,,Request_id no encontrado.
5872838,00000000000007095974,Fechas actualizadas
88888888976,,Request_id no encontrado.
